x1,x2,x3,x4,x5,x6,x7,x8,x9
0.8133968859586603,1.5303107113972598,0.022837553440540642,-1.5531482648378006,1.1194590282381123,-0.0024630383834151337,-1.5531243114529858,1.1194349738851472,-0.002461507753668407
0.7978097910619835,1.5414386007702903,0.02281171728193508,-1.5642503180522254,1.1060975112160416,-0.0027026901957902666,-1.5642261364504029,1.1060736541358973,-0.002701201692496824
0.7821123632296523,1.5524321844799778,0.022783529406690706,-1.5752157138866685,1.092598800125648,-0.0029334258284815784,-1.5751913130415796,1.092575133878304,-0.0029319783910528377
0.7663059648011519,1.5632901034478563,0.022753077714114025,-1.5860431811619704,1.0789639854907231,-0.0031554927148945977,-1.5860185552834305,1.0789405218494141,-0.0031540850212147253
0.7503919921239837,1.574010994916966,0.02272044770626641,-1.5967314426232324,1.065194191107377,-0.0033691308269579306,-1.5967063293382822,1.0651707460164084,-0.003367761290524844
0.7343718382143862,1.5845935183681845,0.022685722488303528,-1.607279240856488,1.0512905418880232,-0.003574573463051789,-1.6072637354322628,1.0512736038815418,-0.0035732643964118266
0.7182467174153384,1.595036466994597,0.022648982418338175,-1.6176854494129351,1.0372540108142578,-0.003772049542423203,-1.617669662550092,1.0372373662374645,-0.0037707757623250265
0.7020184449633844,1.6053382656929338,0.022610306973057027,-1.6279485726659908,1.0230860981019712,-0.003961774415831981,-1.627922804764248,1.0230632774619886,-0.003960514381490254
0.6856882613200534,1.6154977325438367,0.02256977213070837,-1.638067504674545,1.0087878078288208,-0.004143964482059129,-1.6380386345000941,1.0087634582786165,-0.004142731370499093
0.6692576722733825,1.6255135348585061,0.022527452345647046,-1.6480409872041533,0.9943603792450837,-0.004318827112832047,-1.6480120526527309,0.9943362977621439,-0.004317628192495801
0.6527280202669988,1.6353844584990795,0.022483419566858454,-1.657867878065938,0.9798049119668147,-0.00448656576164197,-1.6578417335756546,0.979782893889436,-0.004485407041888469
0.6361008376018694,1.6451091927362949,0.022437744204809276,-1.6675469369411042,0.9651226761491284,-0.004647376402913489,-1.6675204438108049,0.9651007968543346,-0.004646248989991983
0.6193776113907827,1.6546864744361662,0.022390494587058614,-1.6770769690232248,0.9503149062780161,-0.00480145025622003,-1.6770501291512308,0.9502931682831672,-0.004800353284480606
0.6025598350188448,1.6641150561019582,0.022341737139119664,-1.686456793241078,0.9353828462392364,-0.004948973392751868,-1.6864297479333046,0.935361334420759,-0.004947906413680855
0.5856490164321166,1.6733937011245814,0.022291536458784997,-1.6956852375833664,0.9203277566570329,-0.005090126829712369,-1.6956585620282738,0.920306777862423,-0.005089090809460434
0.5686466637782793,1.6825211916592067,0.022239955322930455,-1.704761146982137,0.9051509021101207,-0.005225086814569013,-1.704734266931912,0.9051301595793371,-0.005224079186486215
0.5515543310934784,1.6914963043161682,0.022187054875055272,-1.7136833591912235,0.8898535919567121,-0.005354024627247517,-1.7136557095863592,0.8898327736052147,-0.005353042979209036
0.5343735495865521,1.700317847131311,0.022132894463346275,-1.7224507415946573,0.8744371190128144,-0.005477107278732352,-1.722433371608184,0.8744217350974859,-0.005476186451907998
0.5171056636613147,1.7089847390181179,0.022077531146017113,-1.731062270164135,0.8589026114649383,-0.005594498678626159,-1.7310446528434775,0.8588875600925472,-0.005593603396791998
0.4997526565296826,1.717495598333162,0.022021022395410435,-1.7395166207285724,0.843251776196315,-0.005706354254069304,-1.7394898004354398,0.8432323432770117,-0.005705456115476064
0.4823158676526059,1.725849385883658,0.02196342202370759,-1.7478128079073656,0.8274857448293376,-0.005812829775665343,-1.7477859093602721,0.8274666231928407,-0.005811956881597059
0.46479693834247715,1.7340449307970187,0.021904783257778494,-1.7559497140547973,0.811605924501881,-0.005914075072955008,-1.7559212994953026,0.8115864037740339,-0.005913222102437582
0.44719744166269987,1.7420811139591388,0.02184515758165884,-1.7639262715407977,0.7956136644545276,-0.006010236599555477,-1.7638976331311118,0.7955943723122139,-0.006009407153258553
0.4295189856798549,1.749956818243263,0.021784595114713323,-1.7717414133579763,0.7795103493285076,-0.006101456910862613,-1.7717125914448821,0.7794913061530906,-0.006100650507329629
0.4117631898338022,1.7576709400822006,0.021723144571512247,-1.7793940846537128,0.7632973778502423,-0.0061878749270281724,-1.7793650815108308,0.7632785859656543,-0.006187090984707128
0.3939316840496383,1.765222389962576,0.02166085329501918,-1.7868832432575952,0.7469761620421536,-0.006269626047142582,-1.786854374106761,0.7469577511653225,-0.00626886511720607
0.376026102351667,1.772610095105507,0.021597767269168126,-1.794207862374675,0.7305481213727685,-0.006346842280867349,-1.794178815352662,0.7305299692452527,-0.0063461027071078785
0.35804810774258505,1.7798329893474811,0.021533931240877022,-1.8013669205883582,0.7140147056120814,-0.006419652243593255,-1.8013373876930638,0.7139966813611065,-0.006418932422851825
