x1,x2
-0.964596,-6.460426
-0.9642728,-6.4597063
-0.9639529,-6.458993
-0.96362764,-6.458266
-0.9633048,-6.457546
-0.9629822,-6.456827
-0.9626612,-6.4561086
-0.96233666,-6.455384
-0.96201324,-6.4546623
-0.96169144,-6.4539423
-0.96137154,-6.453228
-0.9610492,-6.452508
-0.96072423,-6.4517813
-0.9604036,-6.4510655
-0.9600819,-6.4503455
-0.9597591,-6.4496236
-0.9594366,-6.4489026
-0.9591163,-6.4481864
-0.9587923,-6.447462
-0.95847124,-6.446742
-0.95814914,-6.4460225
-0.95783126,-6.4453096
-0.95750684,-6.444584
-0.9571858,-6.4438653
-0.9568675,-6.443152
-0.9565422,-6.4424243
-0.95621794,-6.4416966
-0.95589834,-6.4409823
-0.95557904,-6.4402647
-0.9552552,-6.4395413
-0.9549336,-6.4388194
-0.95461434,-6.4381037
-0.95429486,-6.4373875
-0.9539679,-6.436654
-0.95364827,-6.435937
-0.95333165,-6.4352264
-0.9530091,-6.4345036
-0.9526869,-6.4337807
-0.95236313,-6.433053
-0.9520441,-6.432337
-0.9517231,-6.4316154
-0.9514016,-6.4308944
-0.95108306,-6.4301786
-0.95076066,-6.4294558
-0.9504377,-6.4287286
-0.9501191,-6.428013
-0.94979894,-6.427294
-0.94947714,-6.4265714
-0.94916,-6.4258575
-0.9488348,-6.4251256
-0.94851863,-6.424416
-0.94819945,-6.423698
-0.9478739,-6.422965
-0.94755703,-6.422252
-0.9472301,-6.4215145
-0.94691736,-6.420812
-0.9465947,-6.420087
-0.9462769,-6.419371
-0.9459583,-6.4186525
-0.9456372,-6.41793
-0.9453148,-6.417205
-0.94499516,-6.4164834
-0.94467807,-6.4157696
-0.9443527,-6.4150367
-0.9440348,-6.414319
-0.9437226,-6.413617
-0.9433996,-6.4128876
-0.9430801,-6.412168
-0.942754,-6.411431
-0.9424377,-6.4107175
-0.9421167,-6.409994
-0.9417963,-6.409271
-0.9414828,-6.408562
-0.9411655,-6.407847
-0.9408421,-6.407115
-0.9405194,-6.406387
-0.9402068,-6.4056816
-0.93988794,-6.4049616
-0.93956983,-6.4042435
-0.9392444,-6.403507
-0.9389323,-6.4028015
-0.93860996,-6.4020734
-0.93828934,-6.4013476
-0.9379682,-6.400623
-0.93764764,-6.399897
-0.9373327,-6.3991838
-0.9370121,-6.3984594
-0.93669516,-6.3977427
-0.9363764,-6.397021
-0.9360521,-6.3962874
-0.9357386,-6.395578
-0.93542874,-6.3948765
-0.9351046,-6.3941417
-0.9347919,-6.3934326
-0.9344691,-6.392703
-0.9341528,-6.391985
-0.93383104,-6.391256
-0.93351644,-6.3905435
-0.9331972,-6.3898206
-0.9328789,-6.3890977
-0.93255305,-6.3883586
-0.93224466,-6.3876595
-0.9319218,-6.3869257
-0.93160164,-6.386201
-0.93128574,-6.3854833
-0.9309724,-6.3847737
-0.93065476,-6.3840537
-0.93033004,-6.3833156
-0.9300143,-6.3825984
-0.92969537,-6.381873
-0.9293776,-6.381152
-0.92906445,-6.380441
-0.92874914,-6.3797235
-0.9284342,-6.3790092
-0.9281192,-6.3782926
-0.9277928,-6.3775506
-0.9274809,-6.3768406
-0.9271515,-6.3760915
-0.92684364,-6.3753915
-0.9265263,-6.374671
-0.9262055,-6.3739395
-0.92590433,-6.373255
-0.925573,-6.3725014
-0.9252496,-6.3717656
-0.9249511,-6.3710847
-0.9246206,-6.3703313
-0.92430466,-6.3696127
-0.9239946,-6.3689075
-0.92366815,-6.368163
-0.92336357,-6.3674693
-0.92303634,-6.3667216
-0.92272353,-6.36601
-0.92241454,-6.3653064
-0.9220998,-6.364588
-0.92177135,-6.3638377
-0.9214565,-6.3631215
-0.92113966,-6.3623967
-0.9208272,-6.361684
-0.92051476,-6.3609724
-0.92019767,-6.36025
-0.91988575,-6.359536
-0.91956204,-6.3587966
-0.91925544,-6.3580956
-0.9189317,-6.357357
-0.91861695,-6.356639
-0.9183001,-6.355914
-0.9179852,-6.355194
-0.91767114,-6.354478
-0.91735226,-6.3537483
-0.9170346,-6.353021
-0.9167275,-6.3523197
-0.9164072,-6.3515873
-0.9160934,-6.350868
-0.9157658,-6.350119
-0.915469,-6.3494396
-0.9151426,-6.348694
-0.9148332,-6.347985
-0.91451705,-6.347261
-0.9141971,-6.3465295
-0.9138825,-6.345807
-0.9135595,-6.3450675
-0.91326535,-6.344394
-0.91294575,-6.343662
-0.91263723,-6.342954
-0.9123185,-6.3422246
-0.9120075,-6.341511
-0.91169536,-6.3407955
-0.91137004,-6.3400483
-0.91106725,-6.3393545
-0.91073686,-6.338597
-0.91043127,-6.337894
-0.91008824,-6.337108
-0.90979147,-6.336427
-0.9094841,-6.3357205
-0.90916944,-6.334998
-0.90884733,-6.334259
-0.90854204,-6.3335576
-0.90823686,-6.332856
-0.9079215,-6.332132
-0.90760326,-6.331402
-0.9072842,-6.3306675
-0.9069584,-6.329918
-0.90665144,-6.3292127
-0.9063324,-6.3284783
-0.9060182,-6.3277555
-0.90572125,-6.3270736
-0.9054021,-6.3263392
-0.9050802,-6.3255982
-0.904779,-6.3249044
-0.90446687,-6.3241863
-0.90414673,-6.3234487
-0.9038522,-6.3227706
-0.90352595,-6.3220186
-0.90320635,-6.321283
-0.9028977,-6.320572
-0.9025794,-6.319838
-0.90226626,-6.3191166
-0.90195316,-6.318395
-0.90164,-6.317674
-0.90132725,-6.316951
-0.90101427,-6.316229
-0.90070134,-6.31551
-0.90038854,-6.3147864
-0.90007585,-6.3140655
-0.8997629,-6.3133426
-0.8994505,-6.3126206
-0.89913756,-6.3118997
-0.8988253,-6.3111773
-0.8985124,-6.310456
-0.89820015,-6.3097334
-0.8978881,-6.3090115
-0.8975752,-6.308291
-0.8972633,-6.307568
-0.8969509,-6.3068466
-0.8966393,-6.306125
-0.89632684,-6.3054028
-0.89601463,-6.304681
-0.8957022,-6.3039594
-0.8953907,-6.303237
-0.8950783,-6.3025155
-0.8947664,-6.3017926
-0.89445484,-6.301072
-0.8941428,-6.3003497
-0.893831,-6.2996283
-0.89351934,-6.2989044
-0.89320767,-6.298183
-0.89289606,-6.297462
-0.89258516,-6.296741
-0.89227307,-6.2960186
-0.8919621,-6.2952967
-0.8916504,-6.2945743
-0.8913391,-6.2938538
-0.89102787,-6.2931304
-0.8907167,-6.292409
-0.8904055,-6.2916865
-0.8900947,-6.290965
-0.8897834,-6.290244
-0.8894724,-6.2895207
-0.8891612,-6.2887983
-0.88885087,-6.288078
-0.8885396,-6.2873554
-0.8882288,-6.286633
-0.8879183,-6.285912
-0.8876075,-6.2851896
-0.88729674,-6.2844667
-0.8869863,-6.283745
-0.88667566,-6.2830224
-0.8863654,-6.282303
-0.8860548,-6.28158
-0.8857443,-6.2808576
-0.8854342,-6.2801356
-0.8851242,-6.279413
-0.88481355,-6.278691
-0.8845034,-6.2779694
-0.88419324,-6.277248
-0.8838835,-6.2765265
-0.8835735,-6.2758026
-0.8832633,-6.2750807
-0.8829534,-6.2743583
-0.8826437,-6.2736382
